     DEPT             Vp              RHOB_synt            Vs_synt
          1642           2586.82          2.113206186           1421.895
          1652            2884.7          2.172209518           1585.729
          1662           2908.55          2.176845424          1598.8465
          1672           2965.48          2.187858456           1630.158
          1682           3024.77          2.199248784          1662.7675
          1692           3035.19          2.201242239          1668.4985
          1702           3052.92          2.204628434            1678.25
          1712           3041.27          2.202404253          1671.8425
          1722           3116.45          2.216702453          1713.1915
          1732           3056.08          2.205231193           1679.988
          1742           3109.38          2.215363374           1709.303
          1752           3035.09           2.20122312          1668.4435
          1762           3125.53          2.218420546          1718.1855
          1772           3074.37          2.208715435          1690.0475
          1782           3053.39          2.204718099          1678.5085
          1792           3038.05           2.20178895          1670.0715
          1802           3021.56          2.198634174           1661.002
          1812           3012.74          2.196944213           1656.151
          1822           3021.76          2.198672475           1661.112
          1832           3031.75          2.200584407          1666.6065
          1842           2993.18          2.193190025           1645.393
          1852           3005.25          2.195507683          1652.0315
          1862           3069.52           2.20779226            1687.38
          1872           3072.22          2.208306259           1688.865
          1882           3108.39          2.215175773          1708.7585
          1892           3021.89           2.19869737          1661.1835
          1902           3131.78          2.219602051           1721.623
          1912           3108.49          2.215194724          1708.8135
          1922           3031.32          2.200502159            1666.37
          1932           3072.73          2.208403329          1689.1455
          1942           3079.54          2.209698924           1692.891
          1952           3059.19           2.20582419          1681.6985
          1962           3025.05          2.199302384          1662.9215
          1972           3018.25           2.19800017          1659.1815
          1982           3075.94          2.209014161           1690.911
          1992           3089.64          2.211618474           1698.446
          2002           3171.54          2.227097281           1743.491
          2012           3175.39          2.227821121          1745.6085
          2022           3314.61          2.253766856          1822.1795
          2032           3193.44          2.231210161           1755.536
          2042           3400.48          2.269547741           1869.408
          2052           3093.21          2.212296407          1700.4095
          2062            3198.4          2.232140131           1758.264
          2072           3158.18           2.22458282           1736.143
          2082           3191.82          2.230906299           1754.645
          2092           3154.32          2.223855571            1734.02
          2102           3152.89          2.223586063          1733.2335
          2112           3193.85          2.231287055          1755.7615
          2122           3169.36          2.226687268           1742.292
          2132           3199.51          2.232348171          1758.8745
          2142           3231.83          2.238393291          1776.6505
          2152           3121.49          2.217656342          1715.9635
          2162           3099.83          2.213552751          1704.0505
          2172           3164.97          2.225861266          1739.8775
          2182           3024.23          2.199145408          1662.4705
          2192            3011.7          2.196744826           1655.579
          2202            2993.5          2.193251514           1645.569
          2212           2769.44          2.149621164           1522.336
          2222           2899.18          2.175025666           1593.693
          2232           2819.26           2.15942225           1549.737
          2242           2828.94          2.161319972           1555.061
          2252           2863.13          2.168005526          1573.8655
          2262           3027.67          2.199803835          1664.3625
          2272           3177.99          2.228309755          1747.0385
          2282           3168.95          2.226610143          1742.0665
          2292           3800.06          2.340750416           2089.177
          2302           3748.95           2.33184775          2061.0665
          2312           3840.73           2.34779165          2111.5455
          2322            3609.3          2.307216265           1984.259
          2332           3765.05          2.334658633          2069.9215
          2342           3567.51          2.299758143          1961.2745
          2352            3446.2          2.277880814           1894.554
          2362            3696.7          2.322684405           2032.329
          2372           3800.62          2.340847628           2089.485
          2382           3601.23          2.305779169          1979.8205
          2392           3776.68          2.336685394           2076.318
          2402           3164.06           2.22568999           1739.377
          2412           2835.12          2.162530408            1558.46
          2422           3497.74          2.287217011           1922.901
          2432           3997.27          2.374538544          2197.6425
          2442           3876.26          2.353911857           2131.087
