well1;Глубина;Толщина;Vp;Vs;Density;Горная порода;;well2;Глубина;Толщина;Vp;Vs;Density;Горная порода
;2032;10;3193,44;1755,536;2,2312101611136;глина;;;2312;30;3391,41;1864,4195;2,26788889943685;карбонаты(известняк/доломит)
;2042;10;3400,48;1869,408;2,2695477413504;глина;;;2322;10;3593,11;1975,3545;2,30433165607085;кремний
;2052;10;3093,21;1700,4095;2,21229640680285;глина;;;2332;10;3743,61;2058,1295;2,33091412793085;алевролит глинистый
;2062;10;3198,4;1758,264;2,23214013056;глина;;;2342;10;3533,38;1942,503;2,2936372764194;мергель
;2152;90;3121,49;1715,9635;2,21765634206885;глина;;;2352;10;3130,05;1720,6715;2,21927510047125;кремний
;2182;30;3024,23;1662,4705;2,19914540843165;глина;;;2355;3;3212,38;1765,953;2,2347582494594;алевролит песчанистый
;2212;30;2769,44;1522,336;2,1496211639936;известняк пористый;;;2372;17;3553,68;1953,668;2,2972811022624;аргиллит
;2222;10;2899,18;1593,693;2,1750256662674;мергель ;;;2374;2;3391,91;1864,6945;2,26798039534685;мергель
;2232;10;2819,26;1549,737;2,1594222501026;глина;;;2392;18;3285,59;1806,2185;2,24839532104685;алевролит песчанистый
;2262;30;3027,67;1664,3625;2,19980383526765;кремний;;;2394;2;3080,67;1693,5125;2,20991380203765;аргиллит
;2272;10;3177,99;1747,0385;2,22830975493885;карбонаты(известняк/доломит);;;2422;28;3510,1;1929,699;2,289446876885;алевролит 
;2292;20;3800,06;2089,177;2,3407504159586;глина;;;2432;10;3810,78;2095,073;2,3426100716034;сланец глинистый
;2312;20;3840,73;2111,5455;2,34779165027165;песчаник;;;2442;10;4279,73;2352,9955;2,42137450796165;аргиллит
;2322;10;3609,3;1984,259;2,307216265365;песчаник;;;2452;10;4758,04;2616,066;2,4965005766216;кварцит
;2332;10;3765,05;2069,9215;2,33465863272125;песчаник;;;2462;10;5139,81;2826,0395;2,55268747138485;сланец кристаллический
;2334;2;3567,51;1961,2745;2,29975814259885;алевролит песчанистый;;;;;;;;
;2352;18;3446,2;1894,554;2,27788081394;алевролит песчанистый;;;;;;;;
;2362;10;3696,7;2032,329;2,322684404765;алевролит;;;;;;;;
;2372;10;3800,62;2089,485;2,3408476275794;аргиллит;;;;;;;;
;2382;10;3601,23;1979,8205;2,30577916860165;песчаник;;;;;;;;
;2392;10;3776,68;2076,318;2,3366853940424;алевролит песчанистый;;;;;;;;
;2402;10;3164,06;1739,377;2,2256899896386;алевролит;;;;;;;;
;2412;10;2835,12;1558,46;2,1625304077344;алевролит;;;;;;;;
;2414;2;3497,74;1922,901;2,2872170112626;алевролит глинистый;;;;;;;;
;2432;18;3997,27;2197,6425;2,37453854429165;сланец глинистый;;;;;;;;
;2442;10;3876,26;2131,087;2,3539118567426;глина;;;;;;;;
