     DEPT              Vp             RHOB_synt             Vs_synt
           1672           3028.23         2.199910995            1664.6705
           1682           3100.71         2.213719681            1704.5345
           1692           3128.33         2.218949971            1719.7255
           1702           3074.01         2.208646929            1689.8495
           1712           3097.44         2.213099293             1702.736
           1722           3175.06         2.227759091             1745.427
           1732           3224.22         2.236972082             1772.465
           1742           3120.11         2.217395216            1715.2045
           1752           3117.86         2.216969374             1713.967
           1762            3089.5         2.211591882             1698.369
           1772           3088.81         2.211460817            1697.9895
           1782           3120.49         2.217467125            1715.4135
           1792           3040.37         2.202232298            1671.3475
           1802           3025.89         2.199463172            1663.3835
           1812           3049.74         2.204021628             1676.501
           1822           3047.62         2.203616962             1675.335
           1832           3035.45         2.201291948            1668.6415
           1842           3020.86         2.198500116             1660.617
           1852           3016.36         2.197638042             1658.142
           1862           3046.17         2.203340126            1674.5375
           1872           3078.39         2.209480213            1692.2585
           1882           3065.47         2.207020947            1685.1525
           1892           3066.62             2.20724             1685.785
           1902            3086.1         2.210945948             1696.499
           1912           3129.41          2.21915413            1720.3195
           1922           3053.43          2.20472573            1678.5305
           1932           3013.29         2.197049649            1656.4535
           1942           3067.04         2.207319995             1686.016
           1952           3042.32         2.202604844              1672.42
           1962           3003.04         2.195083574             1650.816
           1972           2985.99         2.191807823            1641.4385
           1982           3016.76          2.19771469             1658.362
           1992           3020.33         2.198398607            1660.3255
           2002           3020.67         2.198463727            1660.5125
           2012           3071.12         2.208096872              1688.26
           2022           3099.59         2.213507221            1703.9185
           2032           3135.34         2.220274635             1723.581
           2042           3164.29         2.225733281            1739.5035
           2052           3171.91          2.22716686            1743.6945
           2062           3138.05         2.220786435            1725.0715
           2072           3163.13         2.225514929            1738.8655
           2082           3147.68         2.222603752             1730.368
           2092           3118.29         2.217050766            1714.2035
           2102           3110.74         2.215621052             1710.051
           2112           3160.21         2.224965147            1737.2595
           2122           3134.97         2.220204746            1723.3775
           2132           3137.02         2.220591933             1724.505
           2142           3165.26         2.225915845             1740.037
           2152           3152.81         2.223570985            1733.1895
           2162           3101.35         2.213841074            1704.8865
           2172           3071.72         2.208211087              1688.59
           2182           3052.46         2.204540671             1677.997
           2192           3025.96          2.19947657             1663.422
           2202           3032.78         2.200781403             1667.173
           2212           2896.85         2.174572841            1592.4115
           2222           2719.64          2.13976696             1494.946
           2232           2758.52         2.147465245              1516.33
           2242           2751.17         2.146012602            1512.2875
           2252           2768.25         2.149386357            1521.6815
           2262           2761.58         2.148069653             1518.013
           2272            2925.6         2.180151543             1608.224
           2282           3160.69         2.225055535            1737.5235
           2292           3163.99         2.225676814            1739.3385
           2302           3182.52         2.229160734              1749.53
           2312           3391.41         2.267888899            1864.4195
           2322           3593.11         2.304331656            1975.3545
           2332           3743.61         2.330914128            2058.1295
           2342           3533.38         2.293637276             1942.503
           2352           3130.05           2.2192751            1720.6715
           2362           3212.38         2.234758249             1765.953
           2372           3553.68         2.297281102             1953.668
           2382           3391.91         2.267980395            1864.6945
           2392           3285.59         2.248395321            1806.2185
           2402           3080.67         2.209913802            1693.5125
           2412           3035.99         2.201395184            1668.9385
           2422            3510.1         2.289446877             1929.699
           2432           3810.78         2.342610072             2095.073
           2442           4279.73         2.421374508            2352.9955
           2452           4758.04         2.496500577             2616.066
           2462           5139.81         2.552687471            2826.0395
